/* DATA DESCRIPTION:
	HE335/019-1 * LATITUDE: 54.833170 * LONGITUDE: 7.918170 * DATE/TIME: 2010-09-09T20:41:00 * ELEVATION: -14.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/019-2 * LATITUDE: 54.833170 * LONGITUDE: 7.918330 * DATE/TIME: 2010-09-09T20:43:00 * ELEVATION: -14.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/019-3 * LATITUDE: 54.832830 * LONGITUDE: 7.918500 * DATE/TIME: 2010-09-09T20:47:00 * ELEVATION: -14.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/020-1 * LATITUDE: 54.832670 * LONGITUDE: 8.000500 * DATE/TIME: 2010-09-09T21:12:00 * ELEVATION: -10.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/020-2 * LATITUDE: 54.832500 * LONGITUDE: 8.000500 * DATE/TIME: 2010-09-09T21:14:00 * ELEVATION: -10.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/020-3 * LATITUDE: 54.832330 * LONGITUDE: 8.000670 * DATE/TIME: 2010-09-09T21:18:00 * ELEVATION: -10.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/021-1 * LATITUDE: 54.749500 * LONGITUDE: 7.999330 * DATE/TIME: 2010-09-09T21:52:00 * ELEVATION: -11.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/021-2 * LATITUDE: 54.749330 * LONGITUDE: 8.000670 * DATE/TIME: 2010-09-09T21:54:00 * ELEVATION: -11.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/021-3 * LATITUDE: 54.749000 * LONGITUDE: 8.002170 * DATE/TIME: 2010-09-09T21:56:00 * ELEVATION: -11.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/022-1 * LATITUDE: 54.667170 * LONGITUDE: 7.916000 * DATE/TIME: 2010-09-09T22:33:00 * ELEVATION: -11.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/022-2 * LATITUDE: 54.667170 * LONGITUDE: 7.917170 * DATE/TIME: 2010-09-09T22:35:00 * ELEVATION: -11.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/022-3 * LATITUDE: 54.667170 * LONGITUDE: 7.918330 * DATE/TIME: 2010-09-09T22:37:00 * ELEVATION: -11.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
